0191A,MATERNELLE JEAN GILLES,892,700,20,680,78.48,473,69.56,207,30.44
0193A,MATERNELLE LES VERGERS,836,681,24,657,81.46,430,65.45,227,34.55
0195A,ECOLE VIOLLET LE DUC,1124,956,35,921,85.05,592,64.28,329,35.72
0195B,ECOLE VIOLLET LE DUC,998,909,26,883,91.08,544,61.61,339,38.39
0198A,ECOLE PAUL BERT,1048,909,33,876,86.74,451,51.48,425,48.52
0200A,ECOLE PRIMAIRE LARDENNE,1115,940,39,901,84.3,440,48.83,461,51.17
0201A,ECOLE PRIMAIRE LARDENNE,866,745,23,722,86.03,332,45.98,390,54.02
0201B,ECOLE PRIMAIRE LARDENNE,871,743,28,715,85.3,374,52.31,341,47.69
0203A,ECOLE LITTRE,1080,930,31,899,86.11,443,49.28,456,50.72
0211A,ECOLE LALANDE,1140,985,41,944,86.4,502,53.18,442,46.82
