00033,ECOLE LESPINASSE,1025,817,13,804,79.71,49,6.09,69,8.58,154,19.15,135,16.79,10,1.24,2,0.25,1,0.14,58,7.21,15,1.87,311,38.68
00034,ECOLE LESPINASSE,938,763,6,757,81.34,42,5.55,63,8.32,137,18.1,133,17.57,13,1.72,5,0.66,1,0.12,74,9.78,9,1.19,280,36.99
00035,ECOLE LESPINASSE,1032,810,7,803,78.49,64,7.97,46,5.73,136,16.94,166,20.67,14,1.74,2,0.26,0,0.0,67,8.34,5,0.62,303,37.73
00036,ECOLE LESPINASSE,811,617,7,610,76.08,33,5.41,61,10.0,135,22.13,103,16.89,4,0.66,3,0.48,0,0.0,64,10.49,9,1.48,198,32.46
00037,ECOLE MOLIERE,869,674,6,668,77.56,54,8.08,58,8.68,140,20.96,107,16.02,19,2.84,3,0.45,2,0.31,55,8.23,7,1.05,223,33.38
00038,ECOLE MOLIERE,918,721,14,707,78.54,36,5.09,85,12.02,101,14.29,143,20.23,11,1.56,0,0.0,2,0.28,64,9.05,9,1.27,256,36.21
00039,ECOLE MOLIERE,1097,871,9,862,79.4,48,5.57,70,8.12,176,20.42,153,17.75,11,1.28,4,0.46,4,0.46,68,7.89,14,1.62,314,36.43
00040,ECOLE PATTE D OIE,1218,948,17,931,77.83,40,4.3,81,8.7,161,17.29,157,16.86,11,1.19,3,0.32,3,0.32,112,12.03,12,1.29,351,37.7
00041,ECOLE PATTE D OIE,946,746,6,740,78.86,44,5.94,91,12.3,142,19.19,136,18.38,8,1.08,2,0.27,2,0.27,58,7.84,8,1.08,249,33.65
00042,ECOLE PATTE D OIE,947,734,11,723,77.51,38,5.26,77,10.65,160,22.13,117,16.18,5,0.69,1,0.14,0,0.0,66,9.13,6,0.83,253,34.99
00043,ECOLE PATTE D OIE,992,782,8,774,78.83,31,4.01,98,12.66,170,21.96,124,16.02,11,1.42,0,0.0,3,0.38,56,7.24,4,0.52,277,35.79
00044,ECOLE PATTE D OIE,968,765,15,750,79.03,44,5.87,55,7.33,135,18.0,111,14.8,8,1.07,6,0.8,3,0.4,109,14.53,5,0.67,274,36.53
00045,ECOLE ETIENNE BILLIERES,1030,725,15,710,70.39,26,3.66,88,12.39,99,13.94,175,24.65,8,1.13,4,0.56,2,0.28,42,5.92,9,1.27,257,36.2
00046,ECOLE ETIENNE BILLIERES,985,801,11,788,81.32,21,2.66,78,9.9,188,23.86,116,14.72,3,0.38,3,0.38,2,0.26,71,9.01,4,0.51,302,38.32
00047,ECOLE ETIENNE BILLIERES,1025,820,9,811,80.0,39,4.81,82,10.11,145,17.88,160,19.73,8,0.99,3,0.37,0,0.0,59,7.27,12,1.48,303,37.36
00048,ECOLE ETIENNE BILLIERES,1012,752,12,740,74.31,28,3.78,93,12.57,124,16.76,149,20.14,11,1.49,5,0.68,2,0.26,28,3.78,13,1.76,287,38.78
00049,ECOLE DES GAIS PINSONS,698,569,9,560,81.52,21,3.75,50,8.93,88,15.71,101,18.04,9,1.61,1,0.18,4,0.71,49,8.75,4,0.71,233,41.61
00050,ECOLE FONTAINE BAYONNE,987,785,15,770,79.53,23,2.99,92,11.95,147,19.09,141,18.31,10,1.3,3,0.39,1,0.13,52,6.75,11,1.43,290,37.66
00051,ECOLE FONTAINE BAYONNE,1195,940,11,930,78.66,39,4.19,81,8.71,165,17.74,173,18.6,14,1.51,5,0.54,7,0.75,99,10.65,9,0.97,338,36.34
00052,ECOLE FONTAINE BAYONNE,1060,796,9,787,75.09,33,4.19,112,14.23,156,19.82,119,15.12,15,1.91,3,0.38,2,0.25,83,10.55,8,1.02,256,32.53
00053,ECOLE AMIDONNIERS,1052,827,12,815,78.61,42,5.15,65,7.98,177,21.72,125,15.34,6,0.72,0,0.0,0,0.0,84,10.31,10,1.23,306,37.55
00054,ECOLE AMIDONNIERS,960,749,13,736,78.02,45,6.11,62,8.42,143,19.43,115,15.63,11,1.49,5,0.68,3,0.42,74,10.05,9,1.22,269,36.55
00055,ECOLE AMIDONNIERS,1050,841,8,833,80.1,55,6.6,49,5.88,158,18.97,132,15.85,9,1.08,2,0.24,0,0.0,94,11.28,18,2.16,316,37.94
00056,ECOLE SUPERIEURE DE COMMERCE,1056,827,10,819,78.31,54,6.59,63,7.69,212,25.89,123,15.02,8,0.98,2,0.24,4,0.49,78,9.52,5,0.61,270,32.97
00057,FOYER DU 3 EME  AGE,644,516,8,509,80.12,26,5.11,46,9.04,148,29.08,96,18.86,8,1.57,2,0.39,1,0.19,42,8.25,3,0.59,137,26.92
00058,ECOLE CLAUDE NOUGARO,1160,896,16,880,77.24,36,4.09,71,8.07,180,20.45,161,18.3,6,0.68,2,0.23,3,0.34,88,10.0,12,1.36,321,36.48
00059,ECOLE CLAUDE NOUGARO,1109,905,9,896,81.61,46,5.13,74,8.26,196,21.88,161,17.97,10,1.12,1,0.11,0,0.0,96,10.71,13,1.45,299,33.37
00060,ECOLE CLAUDE NOUGARO,1097,853,11,841,77.76,38,4.52,86,10.23,179,21.28,139,16.53,7,0.83,6,0.71,0,0.0,66,7.85,12,1.43,308,36.62
00061,ECOLE ALFRED DE MUSSET,869,682,7,675,78.48,33,4.89,63,9.33,142,21.04,107,15.85,13,1.93,4,0.59,1,0.15,55,8.15,14,2.07,243,36.0
00062,ECOLE ALFRED DE MUSSET,1023,744,9,735,72.73,38,5.17,69,9.39,150,20.41,130,17.69,11,1.5,4,0.54,0,0.0,51,6.94,12,1.63,270,36.73
00063,ECOLE ALFRED DE MUSSET,780,543,13,530,69.62,10,1.89,71,13.4,69,13.02,97,18.3,6,1.11,3,0.57,3,0.57,33,6.23,8,1.51,230,43.4
00064,MATERNELLE DU BEARNAIS,1458,1198,18,1180,82.17,38,3.22,115,9.75,233,19.75,189,16.02,14,1.19,2,0.15,4,0.34,118,10.0,12,1.02,455,38.56
00065,MATERNELLE DU BEARNAIS,1040,809,17,792,77.79,39,4.92,101,12.75,194,24.49,101,12.75,7,0.88,2,0.27,0,0.0,70,8.84,5,0.63,273,34.47
00066,ECOLE FALGUIERE,820,621,4,617,75.73,33,5.35,35,5.67,166,26.9,89,14.42,2,0.32,1,0.17,0,0.0,53,8.59,13,2.11,225,36.47
00067,ECOLE FALGUIERE,912,743,9,734,81.47,33,4.5,40,5.45,171,23.3,119,16.21,6,0.82,2,0.26,3,0.41,93,12.67,9,1.23,258,35.15
00068,ECOLE DES SEPT DENIERS,953,760,10,750,79.75,27,3.6,75,10.0,193,25.73,109,14.53,6,0.8,2,0.27,0,0.0,95,12.67,3,0.4,240,32.0
00069,ECOLE DES SEPT DENIERS,1337,1119,19,1101,83.69,27,2.45,124,11.26,235,21.34,193,17.53,7,0.64,2,0.18,1,0.1,114,10.35,11,1.0,387,35.15
00070,MAIRIE ANNEXE DES SEPT DENIERS,778,636,10,626,81.75,29,4.63,74,11.82,149,23.8,91,14.54,3,0.48,3,0.48,0,0.0,66,10.54,9,1.44,202,32.27
00071,MAIRIE ANNEXE DES SEPT DENIERS,917,689,8,681,75.14,38,5.58,93,13.66,113,16.59,125,18.36,11,1.62,5,0.73,1,0.14,42,6.17,10,1.47,243,35.68
00072,ECOLE SERMET,976,720,8,713,73.77,49,6.87,39,5.47,167,23.42,135,18.93,9,1.26,0,0.0,4,0.57,70,9.82,5,0.7,235,32.96
00073,ECOLE SERMET,1115,851,7,844,76.32,53,6.28,45,5.33,195,23.1,166,19.67,5,0.58,3,0.36,3,0.36,81,9.6,8,0.95,285,33.77
