00028,ECOLE FABRE,1047,896,6,890,85.58,39,4.38,1,0.11,3,0.34,17,1.91,5,0.56,16,1.8,307,34.49,193,21.69,270,30.34,8,0.9,2,0.22,29,3.26
00029,ECOLE FABRE,1088,918,4,914,84.38,23,2.52,0,0.0,3,0.33,19,2.08,9,0.98,22,2.41,327,35.78,189,20.68,268,29.32,6,0.65,3,0.33,45,4.92
00030,ECOLE FABRE,925,777,4,773,84.0,16,2.07,1,0.13,1,0.13,15,1.94,7,0.92,13,1.68,183,23.67,151,19.53,334,43.21,10,1.29,1,0.13,41,5.3
00031,ECOLE FABRE,951,818,7,811,86.01,23,2.84,2,0.25,4,0.47,8,0.99,11,1.36,6,0.74,204,25.15,154,18.99,353,43.53,14,1.73,2,0.25,30,3.7
00032,CENTRE CULTUREL,802,708,6,702,88.28,11,1.57,1,0.13,4,0.57,12,1.71,7,1.0,8,1.14,125,17.81,137,19.52,350,49.86,11,1.57,2,0.28,34,4.84
00033,ECOLE LESPINASSE,985,842,9,833,85.48,24,2.88,5,0.6,10,1.2,16,1.92,34,4.08,21,2.52,312,37.45,159,19.09,197,23.65,5,0.6,4,0.49,46,5.52
00034,ECOLE LESPINASSE,911,796,9,787,87.38,27,3.43,2,0.25,8,1.02,22,2.8,12,1.52,15,1.91,326,41.42,148,18.81,177,22.49,6,0.76,2,0.25,42,5.34
00035,ECOLE LESPINASSE,1005,844,9,835,83.98,34,4.07,3,0.37,7,0.84,26,3.11,18,2.16,21,2.51,359,42.99,193,23.11,140,16.77,6,0.72,4,0.48,24,2.87
00036,ECOLE LESPINASSE,839,713,11,702,84.98,23,3.28,3,0.43,4,0.57,14,1.99,13,1.85,13,1.85,237,33.76,152,21.65,197,28.06,11,1.57,3,0.43,32,4.56
00037,ECOLE MOLIERE,844,721,5,716,85.43,27,3.77,0,0.0,7,0.98,24,3.35,16,2.23,11,1.54,265,37.01,139,19.41,179,25.0,6,0.84,2,0.28,40,5.59
00038,ECOLE MOLIERE,939,802,11,791,85.41,39,4.93,3,0.38,5,0.63,27,3.41,8,1.01,19,2.4,323,40.83,153,19.34,141,17.83,12,1.52,1,0.13,60,7.59
00039,ECOLE MOLIERE,1053,905,7,898,85.94,40,4.45,2,0.22,6,0.67,18,2.0,12,1.34,21,2.34,355,39.53,187,20.82,200,22.27,7,0.78,1,0.12,49,5.46
00040,ECOLE PATTE D OIE,1339,1147,13,1134,85.66,42,3.7,2,0.18,7,0.62,12,1.06,32,2.82,20,1.76,433,38.18,244,21.52,264,23.28,7,0.62,2,0.18,69,6.08
00041,ECOLE PATTE D OIE,995,868,15,853,87.24,31,3.63,4,0.47,9,1.06,26,3.05,18,2.11,14,1.64,310,36.34,180,21.1,204,23.92,12,1.41,1,0.11,44,5.16
00042,ECOLE PATTE D OIE,809,691,4,687,85.41,15,2.18,0,0.0,5,0.71,14,2.04,10,1.46,20,2.91,262,38.14,129,18.78,179,26.06,12,1.75,0,0.0,41,5.97
00043,ECOLE PATTE D OIE,918,769,11,758,83.77,36,4.75,3,0.4,6,0.79,18,2.37,13,1.72,13,1.72,300,39.58,129,17.02,180,23.75,5,0.66,1,0.12,54,7.12
00044,ECOLE PATTE D OIE,1008,842,12,830,83.53,34,4.1,0,0.0,8,0.96,21,2.53,18,2.17,13,1.57,318,38.31,185,22.29,174,20.96,5,0.61,6,0.72,48,5.78
00045,ECOLE ETIENNE BILLIERES,962,789,13,776,82.02,33,4.25,3,0.39,12,1.55,12,1.55,15,1.93,5,0.64,320,41.24,133,17.14,179,23.07,5,0.64,2,0.25,57,7.35
00046,ECOLE ETIENNE BILLIERES,986,847,7,840,85.9,30,3.57,0,0.0,13,1.55,8,0.95,11,1.31,13,1.55,320,38.1,151,17.98,235,27.98,11,1.31,2,0.22,46,5.48
00047,ECOLE ETIENNE BILLIERES,969,842,9,833,86.89,37,4.44,2,0.24,6,0.72,14,1.68,22,2.64,18,2.16,325,39.02,143,17.17,202,24.25,8,0.96,5,0.6,51,6.12
00048,ECOLE ETIENNE BILLIERES,967,779,14,765,80.56,32,4.18,4,0.52,4,0.52,11,1.44,11,1.44,14,1.83,325,42.48,98,12.81,174,22.75,13,1.7,5,0.66,74,9.67
00049,ECOLE DES GAIS PINSONS,574,471,3,468,82.06,24,5.13,0,0.0,5,1.07,17,3.63,19,4.06,11,2.35,167,35.68,73,15.6,106,22.65,12,2.56,4,0.86,30,6.41
00050,ECOLE FONTAINE BAYONNE,947,800,7,793,84.48,38,4.79,3,0.38,7,0.88,11,1.39,18,2.27,7,0.88,328,41.36,142,17.91,162,20.43,14,1.77,4,0.5,59,7.44
00051,ECOLE FONTAINE BAYONNE,1010,857,13,844,84.85,29,3.44,2,0.24,9,1.07,25,2.96,16,1.9,16,1.9,306,36.26,189,22.39,192,22.75,7,0.83,1,0.1,52,6.16
00052,ECOLE FONTAINE BAYONNE,1017,850,12,838,83.58,46,5.49,5,0.6,7,0.84,12,1.43,19,2.27,10,1.19,295,35.2,149,17.78,211,25.18,14,1.67,3,0.35,67,8.0
00053,ECOLE AMIDONNIERS,1016,875,11,864,86.12,31,3.59,6,0.69,5,0.58,28,3.24,13,1.5,16,1.85,296,34.26,192,22.22,220,25.46,10,1.16,3,0.36,44,5.09
00054,ECOLE AMIDONNIERS,937,815,9,806,86.98,28,3.47,1,0.12,8,0.99,19,2.36,13,1.61,16,1.99,315,39.08,181,22.46,181,22.46,8,0.99,2,0.25,34,4.22
00055,ECOLE AMIDONNIERS,974,836,8,828,85.83,26,3.14,1,0.11,5,0.6,21,2.54,9,1.09,25,3.02,348,42.03,164,19.81,177,21.38,11,1.33,0,0.0,41,4.95
00056,ECOLE SUPERIEURE DE COMMERCE,992,855,7,848,86.19,29,3.42,4,0.47,6,0.71,16,1.89,8,0.94,17,2.0,290,34.2,199,23.47,240,28.3,9,1.06,2,0.24,28,3.3
00057,FOYER DU 3 EME  AGE,633,529,9,520,83.57,23,4.42,4,0.76,8,1.54,12,2.31,5,0.96,12,2.31,169,32.5,78,15.0,172,33.08,7,1.35,0,0.0,30,5.77
00058,ECOLE CLAUDE NOUGARO,1233,1069,15,1054,86.7,39,3.7,2,0.2,7,0.66,20,1.9,15,1.42,24,2.28,395,37.48,247,23.43,249,23.62,5,0.47,6,0.57,45,4.27
00059,ECOLE CLAUDE NOUGARO,1025,881,6,875,85.95,28,3.2,3,0.34,4,0.46,19,2.17,14,1.6,17,1.94,360,41.14,170,19.43,197,22.51,9,1.03,2,0.24,52,5.94
00060,ECOLE CLAUDE NOUGARO,877,725,7,718,82.67,22,3.06,1,0.14,4,0.56,17,2.37,17,2.37,7,0.97,263,36.63,122,16.99,184,25.63,8,1.11,3,0.42,70,9.75
00061,ECOLE ALFRED DE MUSSET,828,680,8,672,82.13,16,2.38,2,0.29,8,1.19,14,2.08,20,2.98,13,1.93,281,41.82,115,17.11,155,23.07,4,0.6,0,0.0,44,6.55
00062,ECOLE ALFRED DE MUSSET,1004,812,7,805,80.88,37,4.6,2,0.25,5,0.62,18,2.24,6,0.75,15,1.86,304,37.76,120,14.91,209,25.96,16,1.99,1,0.12,72,8.94
00063,ECOLE ALFRED DE MUSSET,757,593,11,582,78.34,24,4.12,1,0.17,1,0.17,10,1.72,17,2.92,11,1.89,246,42.27,87,14.95,133,22.85,4,0.69,1,0.17,47,8.08
00064,MATERNELLE DU BEARNAIS,1001,863,6,857,86.21,34,3.97,1,0.11,13,1.52,15,1.75,13,1.52,19,2.22,311,36.29,151,17.62,231,26.95,10,1.17,3,0.35,56,6.53
00065,MATERNELLE DU BEARNAIS,892,768,6,762,86.1,25,3.28,2,0.26,6,0.79,10,1.31,17,2.23,18,2.36,277,36.35,128,16.8,204,26.77,8,1.05,1,0.14,66,8.66
00066,ECOLE FALGUIERE,781,653,3,650,83.61,26,4.0,0,0.0,2,0.31,12,1.85,8,1.23,10,1.54,220,33.85,146,22.46,190,29.23,10,1.54,1,0.14,25,3.85
00067,ECOLE FALGUIERE,899,791,11,780,87.99,27,3.46,3,0.4,1,0.13,15,1.92,10,1.28,14,1.79,267,34.23,205,26.28,209,26.79,5,0.64,1,0.13,23,2.95
00068,ECOLE DES SEPT DENIERS,947,809,10,799,85.43,24,3.0,2,0.26,9,1.13,8,1.0,18,2.25,14,1.75,273,34.17,167,20.9,216,27.03,7,0.88,8,1.0,53,6.63
00069,ECOLE DES SEPT DENIERS,874,749,7,742,85.7,29,3.91,3,0.4,4,0.54,14,1.89,25,3.37,14,1.89,241,32.48,145,19.54,209,28.17,8,1.08,3,0.4,47,6.33
00070,MAIRIE ANNEXE DES SEPT DENIERS,752,638,8,630,84.84,20,3.17,3,0.48,5,0.79,12,1.9,10,1.59,13,2.06,219,34.76,124,19.68,162,25.71,7,1.11,2,0.34,53,8.41
00071,MAIRIE ANNEXE DES SEPT DENIERS,948,773,5,768,81.54,31,4.04,0,0.0,7,0.91,17,2.21,13,1.69,17,2.21,299,38.93,112,14.58,177,23.05,9,1.17,4,0.53,82,10.68
00072,ECOLE SERMET,1128,924,4,920,81.91,17,1.85,3,0.33,7,0.76,22,2.39,4,0.43,19,2.07,378,41.09,206,22.39,227,24.67,5,0.54,0,0.0,32,3.48
00073,ECOLE SERMET,1108,922,6,916,83.21,29,3.17,2,0.22,5,0.55,21,2.29,7,0.76,17,1.86,324,35.37,198,21.62,269,29.37,7,0.76,1,0.1,36,3.93
00074,SALLE SENECHAL,673,561,6,555,83.36,10,1.8,0,0.0,3,0.55,8,1.44,6,1.08,6,1.08,134,24.14,106,19.1,257,46.31,6,1.08,0,0.0,19,3.42
00075,ECOLE DU NORD,895,737,7,730,82.35,39,5.34,0,0.0,4,0.55,20,2.74,8,1.1,9,1.23,328,44.93,127,17.4,155,21.23,5,0.68,1,0.14,34,4.66
00076,ECOLE DU NORD,983,830,8,822,84.44,28,3.41,1,0.12,8,0.97,26,3.16,16,1.95,30,3.65,327,39.78,152,18.49,203,24.7,6,0.73,0,0.0,25,3.04
00077,ECOLE DU NORD,895,776,8,768,86.7,24,3.13,2,0.26,0,0.0,16,2.08,8,1.04,16,2.08,265,34.51,146,19.01,250,32.55,8,1.04,0,0.0,33,4.3
00078,ECOLE DU NORD,919,794,7,787,86.4,25,3.18,4,0.5,1,0.13,17,2.16,7,0.89,22,2.8,255,32.4,149,18.93,261,33.16,5,0.64,1,0.13,40,5.08
00079,ECOLE DU NORD,843,713,5,708,84.58,23,3.25,0,0.0,8,1.13,15,2.12,14,1.98,12,1.69,277,39.12,143,20.2,190,26.84,3,0.42,1,0.14,22,3.11
00080,ECOLE BAYARD,1025,849,6,843,82.83,32,3.8,0,0.0,6,0.71,20,2.37,4,0.47,22,2.61,302,35.82,149,17.67,257,30.49,8,0.95,1,0.13,42,4.98
00081,ECOLE BAYARD,1217,989,16,973,81.27,50,5.14,2,0.22,11,1.13,33,3.39,8,0.82,23,2.36,389,39.98,196,20.14,209,21.48,7,0.72,0,0.0,45,4.62
