00043,ECOLE PATTE D OIE,992,782,8,774,78 %,31,4,98,12,170,21,124,16,11,1,0,0,3,0,56,7,4,0,277,35
00044,ECOLE PATTE D OIE,968,765,15,750,79 %,44,5,55,7,135,18,111,14,8,1,6,0,3,0,109,14,5,0,274,36
00045,ECOLE ETIENNE BILLIERES,1030,725,15,710,70 %,26,3,88,12,99,13,175,24,8,1,4,0,2,0,42,5,9,1,257,36
00046,ECOLE ETIENNE BILLIERES,985,801,11,788,81 %,21,2,78,9,188,23,116,14,3,0,3,0,2,0,71,9,4,0,302,38
00047,ECOLE ETIENNE BILLIERES,1025,820,9,811,80 %,39,4,82,10,145,17,160,19,8,0,3,0,0,0,59,7,12,1,303,37
00048,ECOLE ETIENNE BILLIERES,1012,752,12,740,74 %,28,3,93,12,124,16,149,20,11,1,5,0,2,0,28,3,13,1,287,38
00049,ECOLE DES GAIS PINSONS,698,569,9,560,81 %,21,3,50,8,88,15,101,18,9,1,1,0,4,0,49,8,4,0,233,41
00050,ECOLE FONTAINE BAYONNE,987,785,15,770,79 %,23,2,92,11,147,19,141,18,10,1,3,0,1,0,52,6,11,1,290,37
00051,ECOLE FONTAINE BAYONNE,1195,940,11,930,78 %,39,4,81,8,165,17,173,18,14,1,5,0,7,0,99,10,9,0,338,36
00052,ECOLE FONTAINE BAYONNE,1060,796,9,787,75 %,33,4,112,14,156,19,119,15,15,1,3,0,2,0,83,10,8,1,256,32
00053,ECOLE AMIDONNIERS,1052,827,12,815,78 %,42,5,65,7,177,21,125,15,6,0,0,0,0,0,84,10,10,1,306,37
00054,ECOLE AMIDONNIERS,960,749,13,736,78 %,45,6,62,8,143,19,115,15,11,1,5,0,3,0,74,10,9,1,269,36
00055,ECOLE AMIDONNIERS,1050,841,8,833,80 %,55,6,49,5,158,18,132,15,9,1,2,0,0,0,94,11,18,2,316,37
00056,ECOLE SUPERIEURE DE COMMERCE,1056,827,10,819,78 %,54,6,63,7,212,25,123,15,8,0,2,0,4,0,78,9,5,0,270,32
00057,FOYER DU 3 EME  AGE,644,516,8,509,80 %,26,5,46,9,148,29,96,18,8,1,2,0,1,0,42,8,3,0,137,26
00058,ECOLE CLAUDE NOUGARO,1160,896,16,880,77 %,36,4,71,8,180,20,161,18,6,0,2,0,3,0,88,10,12,1,321,36
00059,ECOLE CLAUDE NOUGARO,1109,905,9,896,81 %,46,5,74,8,196,21,161,17,10,1,1,0,0,0,96,10,13,1,299,33
00060,ECOLE CLAUDE NOUGARO,1097,853,11,841,77 %,38,4,86,10,179,21,139,16,7,0,6,0,0,0,66,7,12,1,308,36
00061,ECOLE ALFRED DE MUSSET,869,682,7,675,78 %,33,4,63,9,142,21,107,15,13,1,4,0,1,0,55,8,14,2,243,36
00062,ECOLE ALFRED DE MUSSET,1023,744,9,735,72 %,38,5,69,9,150,20,130,17,11,1,4,0,0,0,51,6,12,1,270,36
00063,ECOLE ALFRED DE MUSSET,780,543,13,530,69 %,10,1,71,13,69,13,97,18,6,1,3,0,3,0,33,6,8,1,230,43
00064,MATERNELLE DU BEARNAIS,1458,1198,18,1180,82 %,38,3,115,9,233,19,189,16,14,1,2,0,4,0,118,10,12,1,455,38
00065,MATERNELLE DU BEARNAIS,1040,809,17,792,77 %,39,4,101,12,194,24,101,12,7,0,2,0,0,0,70,8,5,0,273,34
00066,ECOLE FALGUIERE,820,621,4,617,75 %,33,5,35,5,166,26,89,14,2,0,1,0,0,0,53,8,13,2,225,36
00067,ECOLE FALGUIERE,912,743,9,734,81 %,33,4,40,5,171,23,119,16,6,0,2,0,3,0,93,12,9,1,258,35
00068,ECOLE DES SEPT DENIERS,953,760,10,750,79 %,27,3,75,10,193,25,109,14,6,0,2,0,0,0,95,12,3,0,240,32
00069,ECOLE DES SEPT DENIERS,1337,1119,19,1101,83 %,27,2,124,11,235,21,193,17,7,0,2,0,1,0,114,10,11,1,387,35
00070,MAIRIE ANNEXE DES SEPT DENIERS,778,636,10,626,81 %,29,4,74,11,149,23,91,14,3,0,3,0,0,0,66,10,9,1,202,32
00071,MAIRIE ANNEXE DES SEPT DENIERS,917,689,8,681,75 %,38,5,93,13,113,16,125,18,11,1,5,0,1,0,42,6,10,1,243,35
00072,ECOLE SERMET,976,720,8,713,73 %,49,6,39,5,167,23,135,18,9,1,0,0,4,0,70,9,5,0,235,32
